[2026-04-24T07:34:48.202Z] GET http://localhost:5174/node_modules/.vite/deps/zustand.js?v=9880098f → 200 (?ms, 1972B)
[2026-04-24T07:34:55.924Z] GET http://localhost:5174/ → 200 (3ms, 372B)
[2026-04-24T07:34:55.930Z] GET http://localhost:5174/@vite/client → 304 (13ms, ?B)
[2026-04-24T07:34:55.931Z] GET http://localhost:5174/src/renderer/index.tsx?t=1777016095871 → 200 (8ms, 2346B)
[2026-04-24T07:34:55.939Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=9880098f → 200 (?ms, 12434B)
[2026-04-24T07:34:55.940Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=9880098f → 200 (?ms, 724B)
[2026-04-24T07:34:55.942Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=9880098f → 200 (?ms, 1021706B)
[2026-04-24T07:34:55.942Z] GET http://localhost:5174/src/renderer/App.tsx?t=1777016029408 → 304 (1ms, ?B)
[2026-04-24T07:34:55.942Z] GET http://localhost:5174/src/renderer/index.css?t=1777016095871 → 200 (1ms, 19412B)
[2026-04-24T07:34:55.942Z] GET http://localhost:5174/src/renderer/dev-mock.ts?t=1777016095871 → 200 (2ms, 11838B)
[2026-04-24T07:34:55.942Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-ODY6T4AV.js?v=9880098f → 200 (1ms, 46922B)
[2026-04-24T07:34:55.943Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 304 (?ms, ?B)
[2026-04-24T07:34:55.943Z] GET http://localhost:5174/src/renderer/store.ts → 304 (1ms, ?B)
[2026-04-24T07:34:55.943Z] GET http://localhost:5174/src/renderer/components/ProjectList.tsx → 304 (1ms, ?B)
[2026-04-24T07:34:55.943Z] GET http://localhost:5174/src/renderer/components/TaskList.tsx → 304 (2ms, ?B)
[2026-04-24T07:34:55.943Z] GET http://localhost:5174/src/renderer/components/TimeCanvas.tsx?t=1777016029408 → 500 (21ms, ?B)
[2026-04-24T07:34:55.944Z] GET http://localhost:5174/node_modules/.vite/deps/zustand.js?v=9880098f → 200 (?ms, 1972B)
[2026-04-24T07:35:04.271Z] GET http://localhost:5174/ → 200 (1ms, 372B)
[2026-04-24T07:35:04.274Z] GET http://localhost:5174/@vite/client → 304 (2ms, ?B)
[2026-04-24T07:35:04.274Z] GET http://localhost:5174/src/renderer/index.tsx?t=1777016104219 → 200 (1ms, 2346B)
[2026-04-24T07:35:04.275Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=9880098f → 200 (?ms, 12434B)
[2026-04-24T07:35:04.275Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=9880098f → 200 (?ms, 724B)
[2026-04-24T07:35:04.275Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=9880098f → 200 (1ms, 1021706B)
[2026-04-24T07:35:04.276Z] GET http://localhost:5174/src/renderer/App.tsx?t=1777016029408 → 304 (17ms, ?B)
[2026-04-24T07:35:04.276Z] GET http://localhost:5174/src/renderer/index.css?t=1777016104219 → 200 (17ms, 19412B)
[2026-04-24T07:35:04.276Z] GET http://localhost:5174/src/renderer/dev-mock.ts?t=1777016104219 → 200 (17ms, 11892B)
[2026-04-24T07:35:04.276Z] GET http://localhost:5174/node_modules/.vite/deps/chunk-ODY6T4AV.js?v=9880098f → 200 (?ms, 46922B)
[2026-04-24T07:35:04.276Z] GET http://localhost:5174/node_modules/vite/dist/client/env.mjs → 304 (17ms, ?B)
[2026-04-24T07:35:04.294Z] GET http://localhost:5174/src/renderer/store.ts → 304 (?ms, ?B)
[2026-04-24T07:35:04.294Z] GET http://localhost:5174/src/renderer/components/ProjectList.tsx → 304 (?ms, ?B)
[2026-04-24T07:35:04.294Z] GET http://localhost:5174/src/renderer/components/TaskList.tsx → 304 (?ms, ?B)
[2026-04-24T07:35:04.294Z] GET http://localhost:5174/src/renderer/components/TimeCanvas.tsx?t=1777016029408 → 500 (?ms, ?B)
[2026-04-24T07:35:04.294Z] GET http://localhost:5174/node_modules/.vite/deps/zustand.js?v=9880098f → 200 (?ms, 1972B)
[2026-04-24T07:35:13.533Z] GET http://localhost:5174/ → 200 (2ms, 372B)
[2026-04-24T07:35:13.537Z] GET http://localhost:5174/@vite/client → 304 (1ms, ?B)
[2026-04-24T07:35:13.537Z] GET http://localhost:5174/src/renderer/index.tsx?t=1777016113481 → 200 (1ms, 2346B)
[2026-04-24T07:35:13.539Z] GET http://localhost:5174/node_modules/.vite/deps/react_jsx-dev-runtime.js?v=9880098f → 200 (?ms, 12434B)
[2026-04-24T07:35:13.539Z] GET http://localhost:5174/node_modules/.vite/deps/react.js?v=9880098f → 200 (?ms, 724B)
[2026-04-24T07:35:13.539Z] GET http://localhost:5174/node_modules/.vite/deps/react-dom_client.js?v=9880098f → 200 (?ms, 1021706B)
[2026-04-24T07:35:13.539Z] GET http://localhost:5174/src/renderer/App.tsx?t=1777016029408 → 304 (19ms, ?B)
[2026-04-24T07:35:13.539Z] GET http://localhost:5174/src/renderer/index.css?t=1777016113481 → 200 (19ms, 19412B)
